source,target
右旋糖酐注射液,右旋糖酐
维生素D2注射液,维生素D及其同系物
鸦胆子油乳注射液,鸦胆子油乳注射液
盐酸达克罗宁胶浆,达克罗宁
盐酸罗哌卡因注射液,罗哌卡因
依托泊苷注射液,依托泊苷
注射用氨苄西林钠,氨苄西林
乙型肝炎人免疫球蛋白注射液,静注乙型肝炎人免疫球蛋白(pH4)
右旋糖酐葡萄糖注射液,右旋糖酐
葡萄糖氯化钠注射液,氨基酸/碳水化合物/矿物质/维生素，复方
注射用阿昔洛韦,阿昔洛韦（无环鸟苷）
注射用单硝酸异山梨酯,硝酸异山梨酯
七氟烷喜保福宁,七氟烷
乳酸钠林格注射液,氨基酸/碳水化合物/矿物质/维生素，复方
注射用地塞米松,地塞米松
舒肝宁注射液,舒肝宁注射液
术前碘海醇注射液注射剂,碘海醇（碘苯六醇，三碘三酰苯）
术前破伤风针注射剂,破伤风疫苗
夏枯草颗粒,夏枯草颗粒
曲安奈德注射液,曲安西龙（去炎松）
异丙嗪注射液非那根,异丙嗪
注射用丁卡因,丁卡因
人免疫球蛋白注射液,标准的人免疫球蛋白
注射用更昔洛韦,更昔洛韦（丙氧鸟苷）
注射用克林霉素,克林霉素
疏血通注射液,疏血通注射液
舒血宁注射液,舒血宁注射液
小儿豉翘清热颗粒颗粒剂温开水冲服,小儿豉翘清热颗粒
醒脑静注射液,醒脑静注射液
注射用多索茶碱,多索茶碱
注射用红花黄色素,注射用红花黄色素
溴米那普鲁卡因注射液爱茂尔,普鲁卡因，复方
注射用链霉素,链霉素
正骨水乙类住院,正骨水
注射用表柔比星,表柔比星
注射用丹参多酚酸盐,丹参多酚酸盐
注射用赖氨酸,赖氨酸
注射用红霉素,红霉素
注射用长春西汀,长春西丁（长春西汀，长春乙酯）
注射用氯化钾,氯化钾
注射用脑蛋白水解物,蛋白水解物
依达拉奉注射液,依达拉奉
注射用氢化可的松琥珀酸钠,氢化可的松
右旋糖酐氯化钠注射液,右旋糖酐
注射用青霉素钠天心,青霉素
依托咪酯脂肪乳注射液福尔利,依托咪酯（甲苄咪唑，嘧羟酯）
维颠茄铝镁片片剂复方胃友2hh,颠茄生物碱，叔胺类
喜炎平注射液,喜炎平注射液
玻璃酸钠滴眼液医乙,透明质酸酶
甲磺酸罗哌卡因注射液医乙,罗哌卡因
炙甘草颗粒,炙甘草颗粒
重组人干扰素1b注射液赛若金,干扰素
注射用双黄连冻干粉,注射用双黄连(冻干)
注射用破伤风人免疫球蛋白,破伤风免疫球蛋白
注射用氨苄西林钠粉,氨苄西林
小儿氨酚黄那敏颗粒小儿氨酚黄那敏颗粒,对乙酰氨基酚，与非安定药的复方
注射用丝裂霉素,丝裂霉素
注射用吡柔比星,吡柔比星（4'-O-四氢吡喃阿霉素）
注射用重组人干扰素冻干粉,干扰素
芬太尼注射液,芬太尼
小儿复方氨基酸注射液,氨基酸
注射用甲硫氨酸维B1,氨基酸/碳水化合物/矿物质/维生素，复方
小儿复方氨基酸注射液18AA,氨基酸
胶体果胶铋胶囊医甲,铋制剂
抗病毒颗粒医乙仅限参保人员门诊使用,抗病毒颗粒
左布比卡因注射液,布比卡因
注射用糜蛋白酶,糜蛋白酶
葡萄糖酸钙锌口服溶液医丙,氨基酸/碳水化合物/矿物质/维生素，复方
醒脑静注射液医乙限二级及,醒脑静注射液
苯磺酸阿曲库铵针甲,阿曲库铵
络降脂通络软胶囊,降脂通脉胶囊
注射用纳洛酮,纳洛酮
注射用环丙沙星,环丙沙星
注射用顺铂,顺铂（顺氯氨铂）
注射用血栓通,注射用血栓通(冻干)
注射用甘草酸二铵冻干粉,甘草酸
注射用丁二磺酸腺苷蛋氨酸农,腺苷蛋氨酸
注射用盐酸表柔比星医乙,表柔比星
注射用乙酰谷酰胺,其它精神兴奋药和益智药
阿昔洛韦乳膏,阿昔洛韦（无环鸟苷）
氨苄西林注射液,氨苄西林
参附注射液医甲限二级及以上医,参附注射液
复方甘草酸苷片医乙,甘草酸
注射用益气复脉,注射用益气复脉(冻干)
氨酚伪麻那敏片II医乙,对乙酰氨基酚，与非安定药的复方
复方谷氨酰胺肠溶胶囊医乙,其它消化道和代谢药物
注射用顺苯磺酸阿曲库铵,顺阿曲库铵
通窍鼻炎颗粒基农医乙,通窍耳聋丸
脂溶性维生素注射液II医乙限与脂肪,氨基酸/碳水化合物/矿物质/维生素，复方
转化糖注射液,转化糖
白芍总苷胶囊医乙,白芍总苷胶囊
丙酸氟替卡松鼻喷雾剂,氟替卡松
注射用血凝酶冻干粉立止血,巴曲酶
阿司匹林肠溶片,乙酰水杨酸
阿昔洛韦滴眼液,阿昔洛韦（无环鸟苷）
补中益气丸,芪参益气滴丸
布洛芬缓释片,布洛芬
复方对乙酰氨基酚片基农医乙,对乙酰氨基酚，与安定药的复方
甘油果糖氯化钠注射液基医甲NULL,甘油
注射用重组人干扰素1b赛若金,干扰素
氟尿嘧啶甲,氟尿嘧啶（氟二氧嘧啶）
布洛芬混悬剂,布洛芬
氨酚伪麻那敏分散片医丙,对乙酰氨基酚，与非安定药的复方
注射用血塞通,注射用血塞通(冻干)
布洛芬混悬液,布洛芬
沉香化气丸,沉香化气丸
甲氨蝶呤片甲,甲氨蝶呤
z5%葡萄糖注射液医甲,葡萄糖
vc银翘片,维C银翘片
复方氨基酸注射液9AA乙限肾功能不全的符合凡,氨基酸/碳水化合物/矿物质/维生素，复方
柏子养心丸,柏子养心丸
板蓝根颗粒,板蓝根颗粒
注射用脂溶性维生素II冻干粉,氨基酸/碳水化合物/矿物质/维生素，复方
醋酸地塞米松片,地塞米松
大黄碳酸氢钠片丙,配有碳酸氢钠的治酸药
骨瓜提取物注射液医丙,骨瓜提取物
康复新液医乙,康复新液
丙氨酰谷氨酰胺注射液医乙限有禁食医,丙氨酰谷酰胺
碘佛醇注射液医甲,碘佛醇
鼻窦炎口服液,鼻窦炎口服液
鳖甲煎丸,鳖甲煎丸
扶正化瘀胶囊,扶正化瘀胶囊
氟轻松软膏,氟轻松（氟西奈德）
绿管肝素钠,肝素
复方氨基酸注射液18AA医甲限制,氨基酸
马来酸桂哌齐特注射液医丙,桂哌齐特
铝碳酸镁片医乙,碳酸镁
脂肪乳注射液250ml医乙,依托咪酯（甲苄咪唑，嘧羟酯）
注射用左氧氟沙星,左氧氟沙星
注射用门冬氨酸鸟氨酸医乙限肝功能衰竭,氨基酸/碳水化合物/矿物质/维生素，复方
丙酸倍氯米松气雾剂,倍氯米松
丙酸氟替卡松吸入气雾剂,氟替卡松
复方氨酚甲麻口服液医丙,对乙酰氨基酚，与安定药的复方
复方氨基酸注射液3AA丙,氨基酸
阿米卡星注射液,阿米卡星
氯化钙注射液乙,氯化钙
乳酸菌素片农,乳酸
芒硝包煎,芒硝
复方氨基酸注射液18AA医甲符合凡例对肠内外营养,氨基酸
通窍鼻炎颗粒医乙,通窍耳聋丸
醋酸钙片医乙限慢性肾功能衰竭所致的高磷血症,其它各类治疗用药品
大黄蜇虫丸,大黄  虫丸
氨基酸注射液,氨基酸
丙泊酚中长链脂肪乳注射液医乙限丙泊,丙泊酚（双异丙酚）
复方穿心莲片医乙,复方穿心莲片
复方氢氧化铝片,氢氧化铝
多糖铁复合物胶囊医乙限妊娠期妇女,氨基酸/碳水化合物/矿物质/维生素，复方
定坤丹,定坤丹
独一味胶囊,独一味胶囊
蒲地蓝消炎口服液医丙,蒲地蓝消炎口服液
舒血宁注射液医乙限二级及以,舒血宁注射液
感冒清胶囊,感冒清胶囊
归脾丸,人参归脾丸
阿昔洛韦片,阿昔洛韦（无环鸟苷）
安神补脑液医乙限参保人员门诊使用,安神补脑片
散复方对乙酰氨基酚片,对乙酰氨基酚，与安定药的复方
胞磷胆碱钠片医乙,胞磷胆碱（二磷酸胞苷胆碱）
血府逐瘀片医甲,血府逐瘀颗粒
依达拉奉注射液医乙限急性脑梗死患,依达拉奉
桂枝茯苓胶囊,桂枝茯苓胶囊
过氧化氢溶液双氧水,过氧化氢
脂肪乳注射液500ml医乙,依托咪酯（甲苄咪唑，嘧羟酯）
注射用丹参多酚酸盐医乙限二级及,注射用丹参多酚酸盐
和血明目片,和血明目片
红金消结胶囊,红金消结胶囊
复方氨基酸注射液3AA医乙限有明确的肝硬化重症肝,氨基酸
甲磺酸帕珠沙星注射液医乙特殊,帕珠沙星
胞磷胆碱钠氯化钠注射液,胞磷胆碱（二磷酸胞苷胆碱）
丙泊酚中长链脂肪乳注射液,丙泊酚（双异丙酚）
猴耳环消炎片,双黄消炎片
护肝片,护肝片
注射用丁二磺酸腺苷蛋氨酸医乙限肝硬化所致肝内,腺苷蛋氨酸
阿糖胞苷注射液,阿糖胞苷
氟康唑胶囊,氟康唑
氟康唑氯化钠注射液,氟康唑
玻璃酸钠注射液医乙,透明质酸酶
沙美特罗替卡松粉吸入剂医乙限二线,沙美特罗结合氟替卡松
丙酸氟替卡松粉喷雾剂医乙,氟替卡松
丙泊酚乳状注射液,丙泊酚（双异丙酚）
川贝枇杷胶囊,川贝枇杷胶囊
益母草注射液医乙限生育保险,益母草注射液
注射用还原型谷胱甘肽医乙限药物性,谷胱甘肽
辅酶Q10胶囊医丙,"泛癸利酮（癸烯醌,辅酶Q10）"
复方倍他米松注射液,倍他米松和抗感染药
花红片,花红片
华蟾素胶囊,华蟾素胶囊
布地奈德福莫特罗粉吸入剂,布地奈德
布洛芬缓释胶囊,布洛芬
银杏酮酯滴丸医乙限参保人员门诊使用,银杏酮酯滴丸
注射用苯磺顺阿曲库铵医乙限阿曲库铵注射剂不能耐,顺阿曲库铵
阿托品片,阿托品
阿托品眼膏,阿托品
大黄蜇虫胶囊,大黄  虫胶囊
复方丹参片,复方丹参片
复方黄连素片,复方黄连素片
阿昔洛韦滴眼液正大捷普,阿昔洛韦（无环鸟苷）
还原型谷胱甘肽片,谷胱甘肽
环丙沙星片,环丙沙星
百蕊颗粒,百蕊颗粒
鼻炎康片,鼻炎康片
低分子肝素钠注射液,肝素
复方沙棘籽油栓医乙,复方沙棘籽油栓
复方枣仁胶囊,复方枣仁胶囊
补肺活血胶囊,舒筋活血胶囊
甘露醇注射液,甘露醇
甘油果糖氯化钠注射液,甘油
参芪五味子片医乙,参芪五味子片
肾康注射液医乙限二级及以上,肾康注射液
依达拉奉注射液医丙,依达拉奉
和血明目片,和血明目
除湿止痒软膏,除湿止痒软膏
磺胺嘧啶银乳膏,磺胺嘧啶银
甲氨蝶呤片,甲氨蝶呤
氨酚麻美干混悬剂医丙,对乙酰氨基酚，与安定药的复方
肌苷片,肌苷
乙酰谷酰胺氯化钠注射液医乙,其它精神兴奋药和益智药
阿普唑仑片,阿普唑仑（安宁甲，佳乐定，甲基三唑安定）
静注人免疫球蛋白ph4医乙限原发性免疫球蛋白缺,标准的人免疫球蛋白
糠酸莫米松乳膏,莫米松
肌苷注射液医甲,肌苷
季德胜蛇药片,季德胜蛇药片
抗感颗粒医乙,抗感颗粒
硫酸镁注射液,硫酸镁
胞磷胆碱钠片乙,胞磷胆碱（二磷酸胞苷胆碱）
醋酸氟轻松乳膏,醋酸氟轻松（氟新诺龙酯）
醋酸泼尼松龙注射液,泼尼松龙
碘解磷定注射液,碘解磷定
夫西地酸乳膏医乙,夫西地酸
加替沙星滴眼液医丙,加替沙星
间苯三酚注射液医乙,间苯三酚
长春西汀葡萄糖注射液医丙,长春西丁（长春西汀，长春乙酯）
陈香露白露片,陈香露白露片
醋酸曲安奈德益康唑乳膏,曲安西龙和灭菌药的复方
硫酸鱼精蛋白注射液,鱼精蛋白
氯霉素片限制,氯霉素
肠泰合剂,肠泰合剂
穿心莲片,穿心莲片
附子理中片,理中片
复方氨酚那敏颗粒医乙限参保人员门诊使用,对乙酰氨基酚，与非安定药的复方
开喉剑喷雾剂儿童型医乙,开喉剑喷雾剂(儿童型)
开塞露,甘油
复方氨酚烷胺胶囊,对乙酰氨基酚，与非安定药的复方
罗库溴铵注射液,罗库溴铵
康复新液,康复新液
抗妇炎胶囊,抗妇炎胶囊
阿昔洛韦片医甲,阿昔洛韦（无环鸟苷）
奥硝唑分散片,奥硝唑
醋酸阿比特龙片泽珂250mg片盒,阿比特龙
硫酸阿托品注射液,阿托品
灯盏生脉胶囊,灯盏生脉胶囊
地奥司明片医乙,地奥司明
脑蛋白水解物注射液,蛋白水解物
葡萄糖粉剂医乙,葡萄糖
妇科千金片,妇科千金片
布地奈德鼻喷雾剂,布地奈德
醋酸可的松眼液,可的松
硫酸庆大霉素氟米龙滴眼液,庆大霉素
六味地黄丸,六味地黄丸
葡萄糖酸钙片,氨基酸/碳水化合物/矿物质/维生素，复方
地奈德乳膏医乙,地奈德
复方丹参片基农医甲,复方丹参片
复方右旋糖酐滴眼液医丙,右旋糖酐
地红霉素肠溶胶囊,地红霉素 
癃清胶囊,癃清胶囊
肛泰软膏医乙,肛泰
复方阿胶浆,复方阿胶浆
复方氨基酸注射液15AA医乙限有明确的肝,氨基酸
氯化钠注射液,氯化钠
氯霉素滴眼液,氯霉素
骨通贴膏医乙,骨通贴膏
红霉素软膏,红霉素
蜜炼川贝枇杷膏,京都念慈菴蜜炼川贝枇杷膏
萘普生片,萘普生
乳酸左氧氟沙星氯化钠注射液,左氧氟沙星
麝香舒活灵,麝香舒活灵
排石颗粒,排石颗粒
强力定眩片,强力定眩片
复方氨基酸注射液9AA医乙,氨基酸/碳水化合物/矿物质/维生素，复方
槐角丸,槐角丸
多酶片医乙限个人账户支付,多酶(脂肪酶、蛋白酶等)
泛昔洛韦片医乙,泛昔洛韦
肾上腺素注射液,肾上腺素
肾炎康复片,肾炎康复片
肌苷片医丙,肌苷
加替沙星滴眼液医乙,加替沙星
强力枇杷露,强力枇杷露
复方利血平氨苯喋啶片,利舍平复方
复方磷酸可待因溶液医丙精二限二线,可待因，与非安定药的复方
双氯芬酸钠缓释胶囊,双氯芬酸
水飞蓟素胶囊,水飞蓟素（西利马林，奶蓟素）
甲硝唑氯化钠注射液,甲硝唑
甲硝唑栓,甲硝唑
甘油果糖氯化钠注射液250ml袋,甘油
骨通贴膏医乙限参保人员门诊使用,骨通贴膏
穿龙骨刺片,骨刺片
乳酸左氧氟沙星滴眼液,左氧氟沙星
独一味丸,独一味丸
多索茶碱注射液,多索茶碱
氟尿嘧啶植入剂医丙,氟尿嘧啶（氟二氧嘧啶）
复方醋酸钠林格注射液医乙,醋酸钠
胶体果胶铋胶囊,铋制剂
金刚藤糖浆,金刚藤糖浆
复方黄柏液涂剂,复方黄柏液涂剂
复方磺胺甲恶唑片,磺胺甲恶唑和甲氧苄啶
红霉素眼膏,红霉素
华佗再造丸,华佗再造丸
金水宝胶囊,金水宝胶囊
金水宝胶囊医乙限器官移植肾功,金水宝片
石淋通颗粒医乙金钱草,石淋通胶囊
氟康唑分散片,氟康唑
氟康唑片,氟康唑
复方利血平氨苯蝶啶片医甲,利舍平复方
复方氯己定含漱液医乙限个人账户,氯己定，复方
黄连上清丸,上清丸
茴拉西坦分散片医丙,茴拉西坦
大活络丸,小活络丸(大蜜丸)
妇科调经胶囊,妇科调经片
复方氨基酸注射液18AAVII乙符合凡例对肠内外营养,氨基酸
茴三硫片医丙,茴三硫
健脾生血颗粒,健脾生血颗粒
丹参酮IIA磺酸钠注射液医乙限急性冠脉综合征患者,丹参酮ⅡA磺酸钠注射液
灯盏花素注射液,灯盏花素注射液
健胃消食片,健胃消食
洁尔阴洗液医丙,洁尔阴洗液
复方丹参滴丸,复方丹参滴丸
复方聚乙二醇电解质散医乙,聚乙二醇，复方
灯盏生脉胶囊,生脉胶囊
水杨酸软膏,水杨酸
复方血栓通胶囊,复方血栓通胶囊
富马酸酮替芬鼻喷雾剂医乙,酮替芬
金鸡胶囊,金鸡颗粒
荆防颗粒医乙,荆防颗粒
复方利血平片,利舍平复方
复方氯化钠注射液,氨基酸/碳水化合物/矿物质/维生素，复方
富马酸酮替芬片医乙,酮替芬
宫瘤清颗粒,宫瘤清颗粒
静注人免疫球蛋白PH4医乙限,标准的人免疫球蛋白
克霉唑栓,克霉唑
地奥心血康胶囊,地奥心血康胶囊
地奈德乳膏,地奈德
颈复康颗粒,颈复康颗粒
抗病毒口服液,四季抗病毒合剂
复合维生素片,氨基酸/碳水化合物/矿物质/维生素，复方
抗腹蛇毒血清,蛇毒抗血清
连翘败毒片,连翘败毒
赖诺普利氢氯噻嗪片医乙,赖诺普利和利尿药
连花清瘟颗粒,连花清瘟颗粒
枸橼酸舒芬太尼注射液医乙麻,舒芬太尼
冠心舒通胶囊,冠心舒通胶囊
颠茄片,颠茄片
硫酸妥布霉素注射液医乙限制,妥布霉素
甘草酸二铵肠溶胶囊,甘草酸
硫酸镁医甲,硫酸镁
独一味软胶囊,独一味软胶囊
果糖二磷酸钠口服溶液,二磷酸果糖
感冒清热颗粒,感冒清热颗粒
宫血宁胶囊,宫血宁胶囊
氯化钾注射液医甲,氯化钾
麻仁润肠丸,麻仁润肠丸
多西他赛注射液医乙,多烯紫杉醇（多西他赛）
酚氨咖敏片医乙,对乙酰氨基酚，与非安定药的复方
红霉素片,红霉素
红霉素肠溶胶囊,红霉素
麻仁丸医乙,麻仁丸
莫匹罗星软膏,莫匹罗星
盆炎净胶囊医乙限参保人员门诊使用,盆炎净胶囊
酚磺乙胺注射液医乙止血敏,酚磺乙胺（止血敏）
氟马西尼注射液,氟马西尼
花红颗粒,花红颗粒
华蟾素片,华蟾素注射液
葡醛内酯片医乙肝泰乐,九味肝泰胶囊
普拉洛芬滴眼液医乙,普拉洛芬
浓氯化钠注射液,氯化钠，高渗的
盆炎净片医乙,盆炎净胶囊
华蟾素片,华蟾素片
环丙沙星注射液,环丙沙星
妇科千金胶囊,妇科千金胶囊
破伤风针注射剂破伤风皮试,破伤风疫苗
普鲁卡因注射液,普鲁卡因，复方
黄芪片,黄芪片
黄氏响声丸,黄氏响声丸
平消胶囊,平消胶囊
奇正消痛贴膏,奇正消痛贴膏
复方板蓝根颗粒医乙限参保人员门诊使用,板蓝根颗粒
复方对乙酰氨基酚片医乙,对乙酰氨基酚，与安定药的复方
普乐安片,普乐安片
杞菊地黄丸,杞菊地黄丸
藿香正气软胶囊,藿香正气软胶囊
急支糖浆,急支糖浆
复方甘草片,复方甘草片
复明片医乙,复明片
清开灵片,清开灵片
甲睾酮片,甲睾酮
甘草酸二铵注射液医乙限肝功能衰,甘草酸
甲硝唑片,甲硝唑
曲安奈德鼻喷雾剂医乙,曲安西龙（去炎松）
清热解毒口服液,清热解毒口服液
健胃消食口服液,健胃消食
甲硝唑阴道泡腾片,甲硝唑，复方
乳酸左氧氟沙星氯化钠注射,氧氟沙星
清热散结胶囊,清热散结胶囊
卡培他滨片,卡培他滨
康复新液基农医乙,康复新液
甲状腺片,甲状腺
金水宝片,金水宝片
三七片,三七片
蛇胆川贝液,蛇胆川贝液
枸橼酸芬太尼注射液,芬太尼
三尖杉酯碱注射液,高三尖杉酯碱
三九胃泰颗粒,三九胃泰颗粒
六神丸,六神丸
双氯芬酸钠缓释片,双氯芬酸
痰热清注射液,痰热清注射液
六味地黄丸,六味地黄丸(水丸)
氯化钾缓释片,氯化钾
术前麻仁润肠丸丸剂,麻仁润肠丸
维生素D3注射液,维生素D及其同系物
碳酸氢钠片,碳酸氢钠
碳酸氢钠注射液,碳酸氢钠
色甘酸钠滴眼液医乙,色甘酸
麝香保心丸,麝香保心丸
妥布霉素地塞米松滴眼液基农医乙,妥布霉素
尪痹胶囊,尪痹胶囊
环孢素口服溶液,环孢素
维生素B2片,核黄素（维生素B2）
替加氟注射液农医乙,替加氟（喃氟啶）
湿润烧伤膏,湿润烧伤膏
舒筋活血片,舒筋活血片
酮康唑片,酮康唑
头孢呋辛酯胶囊,头孢呋辛
藿香正气口服液,藿香正气口服液
通络祛通膏,通络祛痛膏
通宣理肺片,通宣理肺片
妥布霉素滴眼液医乙托百士,妥布霉素
妥布霉素滴眼液乙,妥布霉素
美司钠注射液,美司钠（巯乙磺酸钠）
萘替芬酮康唑乳膏医丙必亮,酮康唑
荆花胃康胶丸医乙,荆花胃康胶丸
聚肌胞注射液医丙,聚肌胞苷酸
四磨汤口服液,四磨汤口服液
苏黄止咳胶囊,苏黄止咳胶囊
尼麦角林片医乙,尼麦角林（麦角溴烟酯，瑟米恩）
宁心宝胶囊,宁心宝胶囊
妥布霉素地塞米松滴眼液,地塞米松和抗生素的复方
尪痹片,尪痹片
六味地黄胶囊,六味地黄胶囊
龙胆泻肝片,龙胆泻肝片
速效救心丸,速效救心丸
维D2果糖酸钙注射液医丙,氨基酸/碳水化合物/矿物质/维生素，复方
氯化琥珀胆碱注射液,氯琥珀胆碱
氯化钠注射液冲洗专用,氯化钠
诺迪康胶囊,诺迪康胶囊
喷昔洛韦乳膏医乙,喷昔洛韦
天王补心丸,壮骨麝香止痛膏
金蝉止痒胶囊,金蝉止痒胶囊
金钱草颗粒,金钱草颗粒
麻仁丸,麻仁丸
马来酸噻吗洛尔滴眼液,噻吗洛尔
迈之灵片,迈之灵片
明目地黄丸,明目地黄丸
破伤风抗毒素,破伤风抗毒素
破伤风人免疫球蛋白,破伤风免疫球蛋白
通宣理肺胶囊,通宣理肺丸
维生素AD滴剂胶囊型医丙,维生素A和维生素D的复方
尿毒清颗粒,尿毒清颗粒(无糖型)
金嗓散结丸,金嗓散结丸
九味羌活丸,九味羌活丸
破伤风人免疫球蛋白医乙,破伤风免疫球蛋白
芩连胶囊医乙,芩连丸
维生素AD滴剂医乙限夜盲症儿童佝偻病,维生素A和维生素D的复方
稳心颗粒,稳心颗粒
葡萄糖酸钙注射液,氨基酸/碳水化合物/矿物质/维生素，复方
羟基脲片,羟基脲
聚甲酚磺醛栓医乙,聚甲酚磺醛
卡铂注射液医甲,卡铂
人血白蛋白医乙限抢救,白蛋白
羟乙基淀粉氯化钠注射液,羟乙基淀粉
三黄片,三黄片
三七伤药片,三七伤药片
曲安奈德益康唑乳膏,曲安西龙和灭菌药的复方
三七伤药胶囊,三七伤药胶囊
抗病毒颗粒,抗病毒颗粒
