,sampleId,path,label
3860,007788,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007788.jpg,"{'annotations': [{'category_id': 'boat', 'bbox': ['5', '119', '119', '327']}]}"
370,000721,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000721.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['95', '139', '139', '273']}]}"
753,001502,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001502.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['172', '65', '65', '343']}]}"
3436,006937,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006937.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['24', '217', '217', '418']}]}"
3505,007085,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007085.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['76', '128', '128', '187']}]}"
917,001817,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001817.jpg,"{'annotations': [{'category_id': 'bus', 'bbox': ['3', '2', '2', '298']}]}"
2390,004787,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004787.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['130', '21', '21', '303']}]}"
202,000399,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000399.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['23', '15', '15', '296']}]}"
215,000423,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000423.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['51', '80', '80', '266']}]}"
1708,003454,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003454.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['192', '89', '89', '332']}]}"
931,001848,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001848.jpg,"{'annotations': [{'category_id': 'aeroplane', 'bbox': ['52', '88', '88', '197']}]}"
4448,008918,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008918.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['2', '97', '97', '375']}, {'category_id': 'person', 'bbox': ['244', '1', '1', '375']}, {'category_id': 'person', 'bbox': ['154', '152', '152', '375']}]}"
1467,002945,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002945.jpg,"{'annotations': [{'category_id': 'diningtable', 'bbox': ['3', '272', '272', '375']}, {'category_id': 'person', 'bbox': ['250', '61', '61', '369']}, {'category_id': 'person', 'bbox': ['17', '70', '70', '314']}, {'category_id': 'person', 'bbox': ['1', '180', '180', '350']}, {'category_id': 'bottle', 'bbox': ['336', '296', '296', '375']}]}"
510,001020,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001020.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['75', '63', '63', '500']}]}"
3684,007429,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007429.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['16', '228', '228', '481']}]}"
2606,005221,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005221.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['12', '98', '98', '372']}]}"
3290,006630,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006630.jpg,"{'annotations': [{'category_id': 'tvmonitor', 'bbox': ['252', '51', '51', '195']}, {'category_id': 'chair', 'bbox': ['1', '184', '184', '257']}]}"
2886,005801,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005801.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['15', '65', '65', '371']}]}"
3536,007155,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007155.jpg,"{'annotations': [{'category_id': 'aeroplane', 'bbox': ['54', '138', '138', '284']}]}"
1111,002204,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002204.jpg,"{'annotations': [{'category_id': 'horse', 'bbox': ['75', '46', '46', '186']}]}"
2777,005571,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005571.jpg,"{'annotations': [{'category_id': 'motorbike', 'bbox': ['22', '74', '74', '311']}]}"
814,001620,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001620.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['11', '283', '283', '450']}, {'category_id': 'person', 'bbox': ['59', '200', '200', '420']}, {'category_id': 'person', 'bbox': ['84', '132', '132', '410']}]}"
1953,003938,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003938.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['217', '123', '123', '375']}]}"
3530,007136,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007136.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['162', '86', '86', '245']}, {'category_id': 'person', 'bbox': ['2', '200', '200', '405']}]}"
66,000127,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000127.jpg,"{'annotations': [{'category_id': 'bird', 'bbox': ['338', '155', '155', '234']}, {'category_id': 'bird', 'bbox': ['238', '215', '215', '318']}, {'category_id': 'bird', 'bbox': ['173', '226', '226', '375']}, {'category_id': 'person', 'bbox': ['68', '21', '21', '375']}]}"
2845,005717,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005717.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['1', '50', '50', '75']}, {'category_id': 'car', 'bbox': ['170', '52', '52', '70']}, {'category_id': 'car', 'bbox': ['320', '52', '52', '85']}, {'category_id': 'car', 'bbox': ['1', '71', '71', '151']}, {'category_id': 'person', 'bbox': ['153', '96', '96', '217']}, {'category_id': 'person', 'bbox': ['307', '161', '161', '220']}, {'category_id': 'person', 'bbox': ['290', '178', '178', '375']}, {'category_id': 'person', 'bbox': ['190', '270', '270', '375']}, {'category_id': 'person', 'bbox': ['1', '95', '95', '375']}, {'category_id': 'diningtable', 'bbox': ['110', '209', '209', '346']}]}"
3138,006328,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006328.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['164', '96', '96', '284']}]}"
3301,006651,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006651.jpg,"{'annotations': [{'category_id': 'aeroplane', 'bbox': ['4', '96', '96', '296']}]}"
4321,008672,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008672.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['1', '162', '162', '192']}]}"
2127,004285,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004285.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['1', '61', '61', '333']}, {'category_id': 'person', 'bbox': ['443', '140', '140', '193']}, {'category_id': 'person', 'bbox': ['410', '143', '143', '185']}]}"
1119,002222,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002222.jpg,"{'annotations': [{'category_id': 'cat', 'bbox': ['23', '14', '14', '343']}]}"
72,000144,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000144.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['396', '232', '232', '330']}, {'category_id': 'bottle', 'bbox': ['221', '192', '192', '276']}, {'category_id': 'bottle', 'bbox': ['245', '156', '156', '215']}, {'category_id': 'person', 'bbox': ['2', '100', '100', '333']}, {'category_id': 'person', 'bbox': ['166', '66', '66', '193']}, {'category_id': 'person', 'bbox': ['351', '3', '3', '304']}, {'category_id': 'person', 'bbox': ['344', '8', '8', '333']}]}"
4541,009109,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009109.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['97', '217', '217', '255']}, {'category_id': 'chair', 'bbox': ['348', '239', '239', '289']}, {'category_id': 'diningtable', 'bbox': ['1', '238', '238', '345']}]}"
4840,009741,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009741.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['1', '216', '216', '328']}, {'category_id': 'person', 'bbox': ['185', '77', '77', '372']}, {'category_id': 'person', 'bbox': ['133', '180', '180', '308']}, {'category_id': 'person', 'bbox': ['189', '196', '196', '242']}, {'category_id': 'pottedplant', 'bbox': ['103', '217', '217', '273']}]}"
1911,003854,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003854.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['68', '116', '116', '500']}]}"
1850,003736,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003736.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['84', '58', '58', '375']}, {'category_id': 'person', 'bbox': ['134', '59', '59', '375']}, {'category_id': 'bottle', 'bbox': ['145', '181', '181', '274']}]}"
3972,008007,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008007.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['139', '1', '1', '309']}]}"
4047,008154,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008154.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['1', '123', '123', '266']}]}"
4567,009158,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009158.jpg,"{'annotations': [{'category_id': 'bird', 'bbox': ['1', '54', '54', '375']}]}"
4269,008580,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008580.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['60', '129', '129', '287']}]}"
4100,008255,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008255.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['159', '332', '332', '479']}, {'category_id': 'person', 'bbox': ['49', '117', '117', '339']}]}"
2974,005977,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005977.jpg,"{'annotations': [{'category_id': 'cat', 'bbox': ['1', '100', '100', '375']}]}"
572,001132,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001132.jpg,"{'annotations': [{'category_id': 'cat', 'bbox': ['21', '93', '93', '286']}]}"
2130,004290,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004290.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['337', '198', '198', '266']}, {'category_id': 'car', 'bbox': ['1', '194', '194', '262']}]}"
4495,009025,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009025.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['52', '23', '23', '332']}]}"
2240,004497,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004497.jpg,"{'annotations': [{'category_id': 'aeroplane', 'bbox': ['2', '16', '16', '342']}, {'category_id': 'person', 'bbox': ['45', '252', '252', '317']}, {'category_id': 'person', 'bbox': ['461', '261', '261', '317']}]}"
3497,007063,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007063.jpg,"{'annotations': [{'category_id': 'cat', 'bbox': ['190', '11', '11', '336']}]}"
1757,003542,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003542.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['210', '226', '226', '286']}, {'category_id': 'bicycle', 'bbox': ['76', '237', '237', '293']}, {'category_id': 'bicycle', 'bbox': ['36', '245', '245', '324']}, {'category_id': 'person', 'bbox': ['229', '183', '183', '270']}, {'category_id': 'person', 'bbox': ['153', '180', '180', '279']}, {'category_id': 'person', 'bbox': ['100', '186', '186', '245']}, {'category_id': 'person', 'bbox': ['61', '195', '195', '296']}, {'category_id': 'person', 'bbox': ['425', '179', '179', '228']}]}"
4576,009182,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009182.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['19', '27', '27', '335']}, {'category_id': 'car', 'bbox': ['367', '1', '1', '16']}, {'category_id': 'car', 'bbox': ['429', '1', '1', '16']}]}"
3192,006431,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006431.jpg,"{'annotations': [{'category_id': 'motorbike', 'bbox': ['134', '133', '133', '295']}]}"
141,000284,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000284.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['201', '78', '78', '256']}]}"
2522,005053,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005053.jpg,"{'annotations': [{'category_id': 'horse', 'bbox': ['22', '144', '144', '202']}, {'category_id': 'horse', 'bbox': ['160', '126', '126', '203']}, {'category_id': 'horse', 'bbox': ['263', '124', '124', '205']}]}"
240,000471,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000471.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['40', '71', '71', '321']}]}"
2876,005777,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005777.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['128', '192', '192', '333']}, {'category_id': 'person', 'bbox': ['185', '1', '1', '333']}, {'category_id': 'person', 'bbox': ['3', '34', '34', '331']}]}"
17,000031,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000031.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['41', '77', '77', '255']}]}"
358,000696,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000696.jpg,"{'annotations': [{'category_id': 'aeroplane', 'bbox': ['103', '90', '90', '214']}, {'category_id': 'person', 'bbox': ['175', '284', '284', '312']}]}"
4277,008598,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008598.jpg,"{'annotations': [{'category_id': 'sheep', 'bbox': ['321', '152', '152', '317']}, {'category_id': 'sheep', 'bbox': ['167', '125', '125', '289']}, {'category_id': 'sheep', 'bbox': ['115', '134', '134', '276']}]}"
4446,008915,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008915.jpg,"{'annotations': [{'category_id': 'bus', 'bbox': ['33', '100', '100', '392']}, {'category_id': 'person', 'bbox': ['15', '283', '283', '360']}]}"
2364,004741,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004741.jpg,"{'annotations': [{'category_id': 'cow', 'bbox': ['139', '115', '115', '203']}]}"
3461,006986,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006986.jpg,"{'annotations': [{'category_id': 'bus', 'bbox': ['246', '28', '28', '113']}, {'category_id': 'bus', 'bbox': ['2', '42', '42', '109']}, {'category_id': 'person', 'bbox': ['187', '32', '32', '484']}, {'category_id': 'person', 'bbox': ['71', '36', '36', '446']}]}"
2602,005211,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005211.jpg,"{'annotations': [{'category_id': 'bicycle', 'bbox': ['37', '25', '25', '313']}]}"
4023,008111,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008111.jpg,"{'annotations': [{'category_id': 'cow', 'bbox': ['17', '22', '22', '295']}, {'category_id': 'person', 'bbox': ['232', '93', '93', '449']}, {'category_id': 'cow', 'bbox': ['95', '22', '22', '146']}]}"
4571,009169,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009169.jpg,"{'annotations': [{'category_id': 'sheep', 'bbox': ['144', '142', '142', '194']}, {'category_id': 'sheep', 'bbox': ['131', '133', '133', '153']}, {'category_id': 'sheep', 'bbox': ['217', '110', '110', '133']}, {'category_id': 'sheep', 'bbox': ['83', '165', '165', '198']}, {'category_id': 'sheep', 'bbox': ['236', '111', '111', '132']}, {'category_id': 'sheep', 'bbox': ['250', '111', '111', '136']}, {'category_id': 'sheep', 'bbox': ['245', '78', '78', '92']}, {'category_id': 'sheep', 'bbox': ['267', '74', '74', '85']}, {'category_id': 'sheep', 'bbox': ['295', '136', '136', '187']}, {'category_id': 'sheep', 'bbox': ['341', '135', '135', '180']}, {'category_id': 'sheep', 'bbox': ['363', '141', '141', '193']}, {'category_id': 'sheep', 'bbox': ['386', '131', '131', '167']}, {'category_id': 'sheep', 'bbox': ['399', '138', '138', '191']}, {'category_id': 'sheep', 'bbox': ['397', '134', '134', '159']}]}"
3988,008035,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008035.jpg,"{'annotations': [{'category_id': 'car', 'bbox': ['305', '369', '369', '475']}, {'category_id': 'person', 'bbox': ['213', '383', '383', '429']}, {'category_id': 'person', 'bbox': ['13', '359', '359', '449']}]}"
45,000086,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000086.jpg,"{'annotations': [{'category_id': 'dog', 'bbox': ['308', '131', '131', '173']}, {'category_id': 'dog', 'bbox': ['270', '125', '125', '153']}]}"
1143,002274,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002274.jpg,"{'annotations': [{'category_id': 'boat', 'bbox': ['61', '66', '66', '406']}]}"
2090,004208,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004208.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['213', '95', '95', '206']}]}"
2383,004772,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004772.jpg,"{'annotations': [{'category_id': 'cow', 'bbox': ['53', '133', '133', '262']}]}"
149,000297,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000297.jpg,"{'annotations': [{'category_id': 'cow', 'bbox': ['103', '120', '120', '395']}, {'category_id': 'person', 'bbox': ['226', '178', '178', '365']}]}"
3317,006688,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006688.jpg,"{'annotations': [{'category_id': 'cat', 'bbox': ['68', '52', '52', '288']}]}"
3657,007380,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007380.jpg,"{'annotations': [{'category_id': 'cow', 'bbox': ['266', '219', '219', '247']}]}"
4860,009783,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/009783.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['191', '119', '119', '296']}]}"
4388,008803,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/008803.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['8', '190', '190', '305']}, {'category_id': 'chair', 'bbox': ['342', '298', '298', '373']}]}"
2348,004717,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004717.jpg,"{'annotations': [{'category_id': 'tvmonitor', 'bbox': ['163', '292', '292', '382']}, {'category_id': 'bottle', 'bbox': ['244', '178', '178', '231']}, {'category_id': 'bottle', 'bbox': ['233', '179', '179', '232']}]}"
1375,002764,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002764.jpg,"{'annotations': [{'category_id': 'boat', 'bbox': ['43', '110', '110', '355']}]}"
1923,003883,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/003883.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['101', '56', '56', '292']}]}"
284,000566,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000566.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['16', '29', '29', '333']}]}"
733,001454,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/001454.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['252', '169', '169', '307']}]}"
3784,007628,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007628.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['22', '301', '301', '375']}, {'category_id': 'diningtable', 'bbox': ['1', '300', '300', '375']}]}"
135,000274,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000274.jpg,"{'annotations': [{'category_id': 'bird', 'bbox': ['49', '100', '100', '303']}]}"
89,000181,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000181.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['259', '159', '159', '287']}, {'category_id': 'sofa', 'bbox': ['1', '149', '149', '375']}, {'category_id': 'person', 'bbox': ['121', '154', '154', '369']}, {'category_id': 'person', 'bbox': ['17', '129', '129', '375']}, {'category_id': 'person', 'bbox': ['1', '243', '243', '375']}]}"
3834,007737,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007737.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['84', '198', '198', '436']}]}"
3277,006600,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006600.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['217', '63', '63', '199']}]}"
355,000691,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/000691.jpg,"{'annotations': [{'category_id': 'chair', 'bbox': ['15', '78', '78', '252']}]}"
2084,004197,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/004197.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['246', '21', '21', '334']}]}"
2813,005650,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005650.jpg,"{'annotations': [{'category_id': 'person', 'bbox': ['86', '67', '67', '375']}]}"
2673,005359,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005359.jpg,"{'annotations': [{'category_id': 'train', 'bbox': ['1', '66', '66', '415']}]}"
3576,007233,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/007233.jpg,"{'annotations': [{'category_id': 'boat', 'bbox': ['28', '2', '2', '287']}]}"
3257,006563,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/006563.jpg,"{'annotations': [{'category_id': 'sofa', 'bbox': ['169', '336', '336', '470']}, {'category_id': 'person', 'bbox': ['164', '221', '221', '362']}]}"
2865,005758,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/005758.jpg,"{'annotations': [{'category_id': 'diningtable', 'bbox': ['5', '75', '75', '375']}]}"
1141,002269,/home/k/Documents/datasets/voc/extract/VOCdevkit/VOC2007_test/JPEGImages/002269.jpg,"{'annotations': [{'category_id': 'horse', 'bbox': ['66', '58', '58', '196']}]}"
